Id,YellowKey,Date,DiscountFactor
S0023D 3Y BLC2,Curncy,11/25/2011,0.972909
S0023D 4Y BLC2,Curncy,11/25/2011,0.95583
S0023D 5Y BLC2,Curncy,11/25/2011,0.93333
S0023D 1Y BLC2,Curncy,12/2/2011,0.993616
S0023D 2Y BLC2,Curncy,12/2/2011,0.986123
S0023D 3Y BLC2,Curncy,12/2/2011,0.975123
S0023D 4Y BLC2,Curncy,12/2/2011,0.957884
S0023D 5Y BLC2,Curncy,12/2/2011,0.935386
S0023D 1Y BLC2,Curncy,12/9/2011,0.993811
S0023D 2Y BLC2,Curncy,12/9/2011,0.987276
S0023D 3Y BLC2,Curncy,12/9/2011,0.977735
S0023D 4Y BLC2,Curncy,12/9/2011,0.961007
S0023D 5Y BLC2,Curncy,12/9/2011,0.938624
S0023D 1Y BLC2,Curncy,12/16/2011,0.993158
S0023D 2Y BLC2,Curncy,12/16/2011,0.985724
S0023D 3Y BLC2,Curncy,12/16/2011,0.976081
S0023D 4Y BLC2,Curncy,12/16/2011,0.960613
S0023D 5Y BLC2,Curncy,12/16/2011,0.94032
S0023D 1Y BLC2,Curncy,12/23/2011,0.992782
S0023D 2Y BLC2,Curncy,12/23/2011,0.984604
S0023D 3Y BLC2,Curncy,12/23/2011,0.97346
S0023D 4Y BLC2,Curncy,12/23/2011,0.955786
S0023D 5Y BLC2,Curncy,12/23/2011,0.933409
S0023D 1Y BLC2,Curncy,12/30/2011,0.993205
S0023D 2Y BLC2,Curncy,12/30/2011,0.98558
S0023D 3Y BLC2,Curncy,12/30/2011,0.975584
S0023D 4Y BLC2,Curncy,12/30/2011,0.960294
S0023D 5Y BLC2,Curncy,12/30/2011,0.940233
S0023D 1Y BLC2,Curncy,1/6/2012,0.993638
S0023D 2Y BLC2,Curncy,1/6/2012,0.98655
S0023D 3Y BLC2,Curncy,1/6/2012,0.97691
S0023D 4Y BLC2,Curncy,1/6/2012,0.961528
S0023D 5Y BLC2,Curncy,1/6/2012,0.940909
S0023D 1Y BLC2,Curncy,1/13/2012,0.994635
S0023D 2Y BLC2,Curncy,1/13/2012,0.988729
S0023D 3Y BLC2,Curncy,1/13/2012,0.980063
S0023D 4Y BLC2,Curncy,1/13/2012,0.965573
S0023D 5Y BLC2,Curncy,1/13/2012,0.945485
S0023D 1Y BLC2,Curncy,1/20/2012,0.994526
S0023D 2Y BLC2,Curncy,1/20/2012,0.98831
S0023D 3Y BLC2,Curncy,1/20/2012,0.978911
S0023D 4Y BLC2,Curncy,1/20/2012,0.962909
S0023D 5Y BLC2,Curncy,1/20/2012,0.941126
S0023D 1Y BLC2,Curncy,1/27/2012,0.99494
S0023D 2Y BLC2,Curncy,1/27/2012,0.989502
S0023D 3Y BLC2,Curncy,1/27/2012,0.981883
S0023D 4Y BLC2,Curncy,1/27/2012,0.968378
S0023D 5Y BLC2,Curncy,1/27/2012,0.948846
S0023D 1Y BLC2,Curncy,2/3/2012,0.99541
S0023D 2Y BLC2,Curncy,2/3/2012,0.99006
S0023D 3Y BLC2,Curncy,2/3/2012,0.981919
S0023D 4Y BLC2,Curncy,2/3/2012,0.968855
S0023D 5Y BLC2,Curncy,2/3/2012,0.949244
S0023D 1Y BLC2,Curncy,2/10/2012,0.995152
S0023D 2Y BLC2,Curncy,2/10/2012,0.989317
S0023D 3Y BLC2,Curncy,2/10/2012,0.980798
S0023D 4Y BLC2,Curncy,2/10/2012,0.965852
S0023D 5Y BLC2,Curncy,2/10/2012,0.945946
S0023D 1Y BLC2,Curncy,2/17/2012,0.994825
S0023D 2Y BLC2,Curncy,2/17/2012,0.988523
S0023D 3Y BLC2,Curncy,2/17/2012,0.979158
S0023D 4Y BLC2,Curncy,2/17/2012,0.96423
S0023D 5Y BLC2,Curncy,2/17/2012,0.944202
S0023D 1Y BLC2,Curncy,2/24/2012,0.994559
S0023D 2Y BLC2,Curncy,2/24/2012,0.987772
S0023D 3Y BLC2,Curncy,2/24/2012,0.978157
S0023D 4Y BLC2,Curncy,2/24/2012,0.962941
S0023D 5Y BLC2,Curncy,2/24/2012,0.94286
S0023D 1Y BLC2,Curncy,3/2/2012,0.995475
S0023D 2Y BLC2,Curncy,3/2/2012,0.989635
S0023D 3Y BLC2,Curncy,3/2/2012,0.980693
S0023D 4Y BLC2,Curncy,3/2/2012,0.966202
S0023D 5Y BLC2,Curncy,3/2/2012,0.946376
S0023D 1Y BLC2,Curncy,3/9/2012,0.995108
S0023D 2Y BLC2,Curncy,3/9/2012,0.988625
S0023D 3Y BLC2,Curncy,3/9/2012,0.979019
S0023D 4Y BLC2,Curncy,3/9/2012,0.963899
S0023D 5Y BLC2,Curncy,3/9/2012,0.943697
S0023D 1Y BLC2,Curncy,3/16/2012,0.995029
